id_mt,entidad,gizscore,fallecidos,gipvalue,tramo,nombre,latitud,longitud,pr,municipio,departamento,divipola,fecha,anio,mes,dia,nombre_mes
4G032,ANI,2.796662,12,0.005163,GIRARDOT - BOGOTÁ,IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot,4.260434,-74.535832,43,FUSAGASUGÁ,CUNDINAMARCA,25290,2022-07-25,2022,7,25,July
4G032,ANI,2.143707,4,0.032056,GIRARDOT - BOGOTÁ,IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot,4.254834,-74.53858,43,FUSAGASUGÁ,CUNDINAMARCA,25290,2024-10-22,2024,10,22,October
3G009,ANI,1.725132,7,0.084504,IBAGUÉ- GIRARDOT,Girardot – Ibagué – Cajamarca,4.233387,-74.9046,sd,ESPINAL,TOLIMA,73268,2024-10-18,2024,10,18,October
3G009,ANI,2.995412,13,0.002741,IBAGUÉ- GIRARDOT,Girardot – Ibagué – Cajamarca,4.374953,-75.117841,23,IBAGUÉ,TOLIMA,73001,2023-07-20,2023,7,20,July
4G015,ANI,1.811623,9,0.070044,IBAGUÉ - VENADILLO - LÉRIDA,IP  –  Cambao Manizales,4.464096,-75.033862,13,ALVARADO,TOLIMA,73026,2023-12-04,2023,12,4,December
,INVIAS-OTROS,1.811623,9,0.070044,PUERTO SALGAR - BARRANCA,,5.603046,-74.621779,52,PUERTO SALGAR,CUNDINAMARCA,25572,2023-02-06,2023,2,6,February
,INVIAS-OTROS,2.699465,12,0.006945,PUERTO SALGAR - BARRANCA,,6.961981,-73.702929,129,BARRANCABERMEJA,SANTANDER,68081,2023-12-31,2023,12,31,December
,INVIAS-OTROS,4.179201,17,2.9e-05,BARRANCA - AGUACHICA,,7.384705,-73.549463,36,SABANA DE TORRES,SANTANDER,68655,2022-06-11,2022,6,11,June
,INVIAS-OTROS,2.699465,12,0.006945,BARRANCA - AGUACHICA,,7.428684,-73.545312,40,SABANA DE TORRES,SANTANDER,68655,2022-07-21,2022,7,21,July
,INVIAS-OTROS,6.250831,24,0.0,BARRANCA - AGUACHICA,,7.733236,-73.435159,82,SAN ALBERTO,CESAR,20710,2024-09-22,2024,9,22,September
,INVIAS-OTROS,3.291359,14,0.000997,BARRANCA - AGUACHICA,,7.790466,-73.403877,3,SAN ALBERTO,CESAR,20710,2022-09-27,2022,9,27,September
,DEPTO,2.292183,1,0.021895,NAN,,7.080771,-73.185884,67,GIRÓN,SANTANDER,68307,2024-03-26,2024,3,26,March
,DEPTO,2.860912,13,0.004224,NAN,,7.073695,-73.179794,69,GIRÓN,SANTANDER,68307,2023-04-01,2023,4,1,April
,DEPTO,3.476334,6,0.000508,NAN,,7.0724,-73.164142,9,GIRÓN,SANTANDER,68307,2024-10-13,2024,10,13,October
,DEPTO,3.309362,9,0.000935,PIEDECUESTA-GIRÓN,,7.064479,-73.166287,8,GIRÓN,SANTANDER,68307,2022-10-23,2022,10,23,October
,INVIAS-OTROS,4.179201,17,2.9e-05,BARBOSA - BUCARAMANGA,,7.06389,-73.095517,1,FLORIDABLANCA,SANTANDER,68276,2023-12-21,2023,12,21,December
,INVIAS-OTROS,5.658936,22,0.0,BARBOSA - BUCARAMANGA,,7.045646,-73.078284,87,FLORIDABLANCA,SANTANDER,68276,2022-12-04,2022,12,4,December
,INVIAS-OTROS,2.699465,12,0.006945,BARBOSA - BUCARAMANGA,,7.02063,-73.06025,84,PIEDECUESTA,SANTANDER,68547,2024-05-28,2024,5,28,May
,INVIAS-OTROS,4.027295,16,5.6e-05,BARBOSA - BUCARAMANGA,,6.99008,-73.044162,79,PIEDECUESTA,SANTANDER,68547,2024-12-12,2024,12,12,December
,INVIAS-OTROS,4.027295,9,5.6e-05,BARBOSA - BUCARAMANGA,,6.972442,-73.044608,78,PIEDECUESTA,SANTANDER,68547,2024-03-02,2024,3,2,March
,INVIAS-OTROS,3.309362,7,0.000935,VARIANTE PEREIRA,,4.813499,-75.801036,5,PEREIRA,RISARALDA,66001,2022-08-05,2022,8,5,August
,INVIAS-OTROS,2.440202,14,0.014679,VARIANTE PEREIRA,,4.810408,-75.810555,8,PEREIRA,RISARALDA,66001,2024-02-03,2024,2,3,February
,INVIAS-OTROS,2.10757,10,0.035068,BARRANCA - AGUACHICA,,7.831367,-73.425267,7,SAN ALBERTO,CESAR,20710,2022-07-07,2022,7,7,July
,INVIAS-OTROS,2.403517,11,0.016238,BARRANCA - AGUACHICA,,7.896122,-73.45797,15,SAN MARTÍN,CESAR,20770,2023-01-15,2023,1,15,January
,INVIAS-OTROS,2.10757,10,0.035068,BARRANCA - AGUACHICA,,7.963444,-73.493668,23,SAN MARTÍN,CESAR,20770,2023-05-08,2023,5,8,May
,INVIAS-OTROS,2.995412,13,0.002741,BARRANCA - AGUACHICA,,8.014307,-73.520019,31,SAN MARTÍN,CESAR,20770,2024-11-30,2024,11,30,November
,INVIAS-OTROS,2.403517,11,0.016238,BARRANCA - AGUACHICA,,8.07286,-73.549345,37,RIO DE ORO,CESAR,20614,2022-01-15,2022,1,15,January
,INVIAS-OTROS,2.893293,4,0.003812,NAN,,7.928047,-72.598278,74,EL ZULIA,NORTE DE SANTANDER,54261,2022-03-06,2022,3,6,March
